# id	file_path	transparent_color_r	g	b
[TEXTURES]
0	textures\mario.png	255	255	255
20	textures\misc.png	176	224	248
10	textures\enemies.png	3	26	110
50	textures\background.png	3	26	110
60	textures\sprite.png	255	255	255

# id	left	top	right	bottom	texture_id

[SPRITES]
#fireball
9001	4	952	11	959	60
9002	14	952	21	959	60
9003	24	952	31	959	60
#coin 1-4
8001	407	979	422	996	60
8002	423	979	434	996	60
8003	435	979	442	996	60
8004	443	979	454	996	60
#background
1	16	14	2813	720	50
# -------------------------------BIG MARIO 
# idle right
10001	246	154	259	180	0
# walk
10002	275	154	290	180	0		
10003	305	155	320	180	0
# idle left
10011	186	154	199	180	0
#walk
10012	155	154	170	180	0
10013	125	155	140	180	0
#break (left,right)
10014	5	154	20	181	0
10015	425	154	440	181	0
#jump right(up and down)
10016	395	275	410	300	0
10017	305	155	320	180	0
#jump left (up and down)
10018	35	275	50	300	0
10019	125	155	140	180	0
#MAXspeed R
11020	334	154	352	180	0
11021	362	154	380	180	0
11022	392	155	410	180	0
#maxspeed L
11023	93	154	111	180	0
11024	65	154	83	180	0
11025	35	155	53	180	0	
# die 
10099	215	120	231	135	0

# --------------------------SMALL MARIO
# idle small right
10021	247	0	258	14	0
# walk
10022	275	0	290	15	0
10023	306	0	320	15	0
# idle small left
10031	187	0	198	15	0
# walk
10032	155	0	170	15	0
10033	125	0	139	15	0
#break left
10034	6	0	19	15	0
#break right
10035	426	0	439	15	0
#jump right (up and dn)
10036	395	80	410	95	0
10037	306	0	320	15	0
#jump left (up and dn)
10038	35	80	50	95	0
10039	125	0	139	15	0
#fullspeed R
11040	275	0	290	15	0
11041	335	0	350	15	0
#fullspeed L
11042	155	0	170	15	0
11043	95	0	110	15	0
#----------------------------FIRE MARIO
#idle right
10040	246	394	259	420	0	
#idle left
10041	186	394	199	420	0
#walk right
10042	275	394	290	420	0
10043	305	395	320	420	0
#walk left
10044	155	394	170	420	0
10045	125	395	140	420	0
#break right
10046	425	394	440	421	0
#break left
10047	5	394	20	421	0
#jump right up
10048	395	515	410	540	0
#jump right down
